Name: Mikayla Schmidt    Email: mikaylakschmidt@gmail.com,,,,,,,,,,,,,,,,,,
Column Name,Units,Description,,,,,,,,,,,,,,,,
shellID,NA,"Unique identifier for each individual shell. The first number (1-5) refers to the experiment number, the second (1-3) to the replicate number, the third (1-11) refers to the taxon, and the fourth (1-6) to the set of samples it is grouped with.",,,,,,,,,,,,,,,,
exptID,NA,Unique identifier for each experiment. The first letter refers to the type of study while the number refers to the individual experiment.,,,,,,,,,,,,,,,,
taxon,NA,Scientific name of taxon of individual shell.,,,,,,,,,,,,,,,,
source,NA,The bag from which each individual shell was sourced.,,,,,,,,,,,,,,,,
pocket,NA,The pocket in which each shell was randomly placed. Varies from 1-11 to 1-5 based on the number of shells sampled.,,,,,,,,,,,,,,,,
dateM1,yy/mm/dd then hour/minute,The date and time at which the experiment was started. Rounded to the nearest minute.,,,,,,,,,,,,,,,,
dateM2,yy/mm/dd then hour/minute,The date and time at which the experiment was finished. Rounded to the nearest minute.,,,,,,,,,,,,,,,,
mass1,milligrams,The mass of each individual measured before experimental treatment.,,,,,,,,,,,,,,,,
mass2,milligrams,The mass of each individual measured after experimental treatment.,,,,,,,,,,,,,,,,
shape,NA,Rough three-dimensional shape of the shell.,,,,,,,,,,,,,,,,
xDim,millimeters,x axis dimension in mm,,,,,,,,,,,,,,,,
yDim,millimeters,y axis dimension in mm,,,,,,,,,,,,,,,,
zDim,millimeters,z axis dimension in mm,,,,,,,,,,,,,,,,
calcSA1,millimeters squared,surface area as calculated in imageJ from image 1 of specimen,,,,,,,,,,,,,,,,
calcSA2,millimeters squared,surface area as calculated in imageJ from image 2 of specimen,,,,,,,,,,,,,,,,
polymorph,NA,type of calcium carbonate (Calcite or Aragonite),,,,,,,,,,,,,,,,
mag,%,magnesium content percentage based on XRD findings,,,,,,,,,,,,,,,,
notes,NA,notes on damaged/lost shells for exclusion,,,,,,,,,,,,,,,,
exclude,NA,"column to indicate exclusion of shells for reasons denoted in 'notes' column. 0 = include, 1=exclude. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
shellID,exptID,taxon,source,pocket,dateM1,dateM2,mass1,mass2,shape,xDim,yDim,zDim,calcSA1,calcSA2,polymorph,mag,notes ,exclude
1.1.1.1,1.1,Aragonite,,,,,1398.31,1358.98,,9.09,6.54,10.9,,,,,,0
1.1.1.2,1.1,Aragonite,,,,,1613.39,1575.12,,12.5,4.17,10.57,,,,,,0
1.1.1.3,1.1,Aragonite,,,,,2519.01,2488.72,,17.57,9.03,6.58,,,,,,0
1.1.1.4,1.1,Aragonite,,,,,1398.27,1384.42,,9.8,6.88,7.14,,,,,,0
1.1.1.5,1.1,Aragonite,,,,,1739.48,1717.79,,14.52,7.64,6.27,,,,,,0
1.1.1.6,1.1,Aragonite,,,,,1437.33,1412.18,,8.32,4.69,12.11,,,,,,0
1.1.2.1,1.1,Calcite,,,,,1006.38,997.3,,10.62,5.37,6.53,,,,,,0
1.1.2.2,1.1,Calcite,,,,,278.12,268.31,,6.81,7.12,2.7,,,,,,0
1.1.2.3,1.1,Calcite,,,,,370.17,362.12,,6.02,5.25,4.41,,,,,,0
1.1.2.4,1.1,Calcite,,,,,1056.66,1047.12,,10.61,5.9,6.9,,,,,,0
1.1.2.5,1.1,Calcite,,,,,917.21,906.68,,11.18,8.56,3.76,,,,,,0
1.1.2.6,1.1,Calcite,,,,,421.96,413.07,,8.16,7.54,3.01,,,,,,0
1.1.3.1,1.1,Centrostephanus,,,,,294.49,247.12,,75.7,2.94,2.78,,,,,broken?,1
1.1.3.2,1.1,Centrostephanus,,,,,123.71,0,,55.02,2.11,1.99,,,,,broken,1
1.1.3.3,1.1,Centrostephanus,,,,,254.38,237.8,,51.75,3.02,2.99,,,,,broken?,0
1.1.3.4,1.1,Centrostephanus,,,,,255.1,232.15,,67.47,2.89,2.96,,,,,broken?,0
1.1.3.5,1.1,Centrostephanus,,,,,132.03,115.03,,51.66,1.92,1.91,,,,,broken?,1
1.1.3.6,1.1,Centrostephanus,,,,,317.93,292.49,,76.06,3.05,2.92,,,,,broken?,0
1.1.4.1,1.1,Pecten,,,,,482.63,458.35,,17.46,12.01,1.12,,,,,,0
1.1.4.2,1.1,Pecten,,,,,1088.46,1041.91,,21.05,18.83,1.11,,,,,,0
1.1.4.3,1.1,Pecten,,,,,629.66,608.12,,18.55,15.33,1.05,,,,,,0
1.1.4.4,1.1,Pecten,,,,,1086.61,1050.01,,23.93,19.13,0.95,,,,,,0
1.1.4.5,1.1,Pecten,,,,,490.37,468.04,,22.15,10.14,0.93,,,,,,0
1.1.4.6,1.1,Pecten,,,,,1155.31,1126.36,,22.74,16.5,1.61,,,,,,0
1.1.5.1,1.1,Saccostrea,,,,,584.68,556.65,,15.59,10.91,1.59,,,,,,0
1.1.5.2,1.1,Saccostrea,,,,,669.67,649.27,,16.18,10.7,1.84,,,,,,0
1.1.5.3,1.1,Saccostrea,,,,,635.46,615.51,,10.28,11.84,3.95,,,,,,0
1.1.5.4,1.1,Saccostrea,,,,,559.17,535.72,,16.33,10.23,1.52,,,,,,0
1.1.5.5,1.1,Saccostrea,,,,,380.86,366.81,,10.59,11.04,2.19,,,,,,0
1.1.5.6,1.1,Saccostrea,,,,,544.75,524.96,,10.75,10.19,2.42,,,,,,0
1.1.6.1,1.1,Anadara,,,,,670.15,658.46,,10.35,8.69,3.15,,,,,,0
1.1.6.2,1.1,Anadara,,,,,839.05,818.61,,10.8,10.94,2.79,,,,,,0
1.1.6.3,1.1,Anadara,,,,,1057.24,1029.65,,14.47,13.28,2.74,,,,,,0
