Name: Mikayla Schmidt    Email: mikaylakschmidt@gmail.com,,,,,,,,,,,,,,,,,,,
Column Name,Units,Description,,,,,,,,,,,,,,,,,
shellID,NA,"Unique identifier for each individual shell. The first number (1-5) refers to the experiment number, the second (1-3) to the replicate number, the third (1-11) refers to the taxon, and the fourth (1-6) to the set of samples it is grouped with.",,,,,,,,,,,,,,,,,
exptID,NA,Unique identifier for each experiment. The first letter refers to the type of study while the number refers to the individual experiment.,,,,,,,,,,,,,,,,,
taxon,NA,Scientific name of taxon of individual shell.,,,,,,,,,,,,,,,,,
source,NA,The bag from which each individual shell was sourced.,,,,,,,,,,,,,,,,,
pocket,NA,The pocket in which each shell was randomly placed. Varies from 1-11 to 1-5 based on the number of shells sampled.,,,,,,,,,,,,,,,,,
dateM1,yy/mm/dd then hour/minute,The date and time at which the experiment was started. Rounded to the nearest minute.,,,,,,,,,,,,,,,,,
dateM2,yy/mm/dd then hour/minute,The date and time at which the experiment was finished. Rounded to the nearest minute.,,,,,,,,,,,,,,,,,
mass1,milligrams,The mass of each individual measured before experimental treatment.,,,,,,,,,,,,,,,,,
mass2,milligrams,The mass of each individual measured after experimental treatment.,,,,,,,,,,,,,,,,,
shape,NA,Rough three-dimensional shape of the shell.,,,,,,,,,,,,,,,,,
xDim,millimeters,x axis dimension in mm,,,,,,,,,,,,,,,,,
yDim,millimeters,y axis dimension in mm,,,,,,,,,,,,,,,,,
zDim,millimeters,z axis dimension in mm,,,,,,,,,,,,,,,,,
calcSA1,millimeters squared,surface area as calculated in imageJ from image 1 of specimen,,,,,,,,,,,,,,,,,
calcSA2,millimeters squared,surface area as calculated in imageJ from image 2 of specimen,,,,,,,,,,,,,,,,,
polymorph,NA,type of calcium carbonate (Calcite or Aragonite),,,,,,,,,,,,,,,,,
mag,%,magnesium content percentage based on XRD findings,,,,,,,,,,,,,,,,,
notes,NA,notes on damaged/lost shells for exclusion,,,,,,,,,,,,,,,,,
exclude,NA,"column to indicate exclusion of shells for reasons denoted in 'notes' column. 0 = include, 1=exclude. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
shellID,exptID,taxon,source,pocket,dateM1,dateM2,mass1,mass2,shape,xDim,yDim,zDim,calcSA1,calcSA2,polymorph,mag,notes ,exclude,
3.1.1.1,3.1,Aragonite,,,,,1921.08,1905.18,,12.42,7.89,7.58,,,,,,0,
3.1.1.2,3.1,Aragonite,,,,,1156.67,1142.48,,10.6,6.41,6.4,,,,,,0,
3.1.1.3,3.1,Aragonite,,,,,2027.77,2010.06,,14.84,9.32,6.29,,,,,,0,
3.1.1.4,3.1,Aragonite,,,,,1925.35,1908.96,,11.67,5.33,11.4,,,,,,0,
3.1.1.5,3.1,Aragonite,,,,,1010.59,1002.46,,7.92,6.64,5.97,,,,,,0,
3.1.1.6,3.1,Aragonite,,,,,2001.54,1981.28,,7.34,6.49,13.51,,,,,,0,
3.1.2.1,3.1,Calcite,,,,,209.76,205.13,,5.85,4.33,3.18,,,,,,0,
3.1.2.2,3.1,Calcite,,,,,385.67,380.4,,9.27,6.81,2.46,,,,,,0,
3.1.2.3,3.1,Calcite,,,,,1385.84,1376.64,,9.89,8.64,7.15,,,,,,0,
3.1.2.4,3.1,Calcite,,,,,487.77,482.15,,8.97,8.77,2.19,,,,,,0,
3.1.2.5,3.1,Calcite,,,,,1646.28,1635.55,,9.35,8.29,7.95,,,,,,0,
3.1.2.6,3.1,Calcite,,,,,186.6,180.95,,5.94,5.7,2.33,,,,,,0,
3.1.3.1,3.1,Pecten,,,,,619.57,591.47,,18.93,11.94,1.42,,,,,,0,
3.1.3.2,3.1,Pecten,,,,,568.63,542.33,,16.02,12.72,1.18,,,,,,0,
3.1.3.3,3.1,Pecten,,,,,1136.11,1112.28,,20.55,19.88,1.15,,,,,,0,
3.1.3.4,3.1,Pecten,,,,,1147.33,1122.85,,21.04,20.52,1.24,,,,,,0,
3.1.3.5,3.1,Pecten,,,,,992.92,972.3,,21.11,19.51,1.31,,,,,,0,
3.1.3.6,3.1,Pecten,,,,,1138.7,1111.5,,20.53,10.92,2.23,,,,,,0,
3.1.4.1,3.1,Saccostrea,,,,,698,680.3,,14.26,12.08,2.53,,,,,,0,
3.1.4.2,3.1,Saccostrea,,,,,639.31,625.92,,22.18,10.91,1.65,,,,,,0,
3.1.4.3,3.1,Saccostrea,,,,,1064.5,1047.32,,18.29,12.03,2.2,,,,,,0,
3.1.4.4,3.1,Saccostrea,,,,,562.23,551.9,,14.22,11.09,2.12,,,,,,0,
3.1.4.5,3.1,Saccostrea,,,,,489.79,487,,12.85,11.92,1.9,,,,,need to check,1,*
3.1.4.6,3.1,Saccostrea,,,,,921.38,892.43,,16.61,10.55,2.39,,,,,broken??,1,
3.1.5.1,3.1,Anadara,,,,,668.28,661.3,,12.08,10.15,2.19,,,,,,0,
3.1.5.2,3.1,Anadara,,,,,704.29,692.37,,12.27,8.71,3.08,,,,,,0,
3.1.5.3,3.1,Anadara,,,,,530.91,520.3,,14.3,10.17,1.39,,,,,,0,
3.1.5.4,3.1,Anadara,,,,,602.92,591.89,,13.98,9.43,2.17,,,,,,0,
3.1.5.5,3.1,Anadara,,,,,532.21,525.39,,11.38,10.16,2.19,,,,,,0,
3.1.5.6,3.1,Anadara,,,,,1193.69,1181.86,,12.6,12.77,2.73,,,,,,0,
3.1.6.1,3.1,Centrostephanus,,,,,167.09,148.55,,63.95,2.21,2.27,,,,,,0,
3.1.6.2,3.1,Centrostephanus,,,,,215.69,201.69,,45.24,2.96,3,,,,,,0,
